Name,Date,Site,Direction of transect,Type of transect,Location,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
PA250059.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250060.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250061.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250062.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250063.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250064.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250065.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250066.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250067.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250068.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250069.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250070.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250071.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250072.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250073.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250074.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
